,ID,EC number,reaction,flux
0,GLYCEROL_3P_pc1,NA,GLYCEROL_3P_p1 <=> GLYCEROL_3P_c1,-0.02088066903799263
1,GLYCEROL_3P_pc3,NA,GLYCEROL_3P_p3 <=> GLYCEROL_3P_c3,-0.045286704095193184
2,GLYCEROL_3P_pc2,NA,GLYCEROL_3P_p2 <=> GLYCEROL_3P_c2,-0.03289209086839086
3,NADH_DEHYDROG_A_RXN_mc7,1.6.5.3,NADH_m7 + 5.0 PROTON_m7 + UBIQUINONE_mc7 --> NAD_m7 + 4.0 PROTON_c7 + UBIQUINOL_mc7,0.0
4,GLYCEROL_3P_pc9,NA,GLYCEROL_3P_p9 <=> GLYCEROL_3P_c9,-0.0016605326657644082
5,NADH_DEHYDROG_A_RXN_mc8,1.6.5.3,NADH_m8 + 5.0 PROTON_m8 + UBIQUINONE_mc8 --> NAD_m8 + 4.0 PROTON_c8 + UBIQUINOL_mc8,0.0
6,GLYCEROL_3P_pc8,NA,GLYCEROL_3P_p8 <=> GLYCEROL_3P_c8,-0.0041025823233512
7,NADH_DEHYDROG_A_RXN_mc9,1.6.5.3,NADH_m9 + 5.0 PROTON_m9 + UBIQUINONE_mc9 --> NAD_m9 + 4.0 PROTON_c9 + UBIQUINOL_mc9,0.0
8,GLYCEROL_3P_pc5,NA,GLYCEROL_3P_p5 <=> GLYCEROL_3P_c5,-0.03670255141362766
9,GLYCEROL_3P_pc4,NA,GLYCEROL_3P_p4 <=> GLYCEROL_3P_c4,-0.04812719869193392
10,GLYCEROL_3P_pc7,NA,GLYCEROL_3P_p7 <=> GLYCEROL_3P_c7,-0.009701974583971401
11,GLYCEROL_3P_pc6,NA,GLYCEROL_3P_p6 <=> GLYCEROL_3P_c6,-0.020785648785126454
12,THYMIDYLATESYN_RXN_m7,2.1.1.45,DUMP_m7 + METHYLENE_THF_m7 --> DIHYDROFOLATE_m7 + DTMP_m7,0.0
13,THYMIDYLATESYN_RXN_m6,2.1.1.45,DUMP_m6 + METHYLENE_THF_m6 --> DIHYDROFOLATE_m6 + DTMP_m6,0.0
14,THYMIDYLATESYN_RXN_m5,2.1.1.45,DUMP_m5 + METHYLENE_THF_m5 --> DIHYDROFOLATE_m5 + DTMP_m5,0.0
15,THYMIDYLATESYN_RXN_m4,2.1.1.45,DUMP_m4 + METHYLENE_THF_m4 --> DIHYDROFOLATE_m4 + DTMP_m4,0.0
16,THYMIDYLATESYN_RXN_m3,2.1.1.45,DUMP_m3 + METHYLENE_THF_m3 --> DIHYDROFOLATE_m3 + DTMP_m3,0.0
17,THYMIDYLATESYN_RXN_m2,2.1.1.45,DUMP_m2 + METHYLENE_THF_m2 --> DIHYDROFOLATE_m2 + DTMP_m2,0.0
18,THYMIDYLATESYN_RXN_m1,2.1.1.45,DUMP_m1 + METHYLENE_THF_m1 --> DIHYDROFOLATE_m1 + DTMP_m1,0.0
19,ATP_pc5,NA,0.9 ATP_p5 + 0.35 PROTON_c5 + 0.1 aATP_p5 <=> 0.65 ATP_c5 + 0.1 PROTON_p5 + 0.35 aATP_c5,0.011487898592460397
20,CITSYN_RXN_x4,2.3.3.1,ACETYL_COA_x4 + OXALACETIC_ACID_x4 + WATER_x4 --> CIT_x4 + CO_A_x4 + PROTON_x4,0.0
21,ATP_pc4,NA,0.9 ATP_p4 + 0.35 PROTON_c4 + 0.1 aATP_p4 <=> 0.65 ATP_c4 + 0.1 PROTON_p4 + 0.35 aATP_c4,0.015063813190571707
